F1,F2,F3,F4,F5,F6,CODE1,CODE2,prove,provf,taxyr,f7
1470590,4169167,1314660,4698421,2785250,8867588,F,62,,,2004,3
1059990,1367965,974010,1664725,2034010,3032690,F,63,,,2004,3
1481960,5663238,1322330,6487900,2804300,12151138,F,64,,,2004,3
1133640,0,945130,0,2078760,0,A,1,,,2004,4
9930,0,5080,0,15010,0,A,2,,,2004,4
1143560,0,950210,0,2093770,0,A,3,,,2004,4
927380,34984684,787380,33531632,1714760,68516316,B,4,,,2004,4
26220,319413,21280,308998,47500,628411,B,5,,,2004,4
139380,445338,124330,398279,263720,843617,B,6,,,2004,4
147340,788463,108970,581369,256310,1369832,B,7,,,2004,4
212590,1482660,164510,1145628,377100,2628288,B,8,,,2004,4
195110,4372026,151280,3839738,346390,8211764,B,9,,,2004,4
122160,670622,89210,475783,211370,1146405,B,10,,,2004,4
197790,661074,175330,570942,373120,1232016,B,11,,,2004,4
377230,772616,314350,632848,691580,1405464,B,12,,,2004,4
92300,773587,68500,626794,160800,1400381,B,13,,,2004,4
74320,133558,65820,102194,140150,235752,B,14,,,2004,4
107720,275567,94140,274926,201860,550493,B,15,,,2004,4
123900,528475,112810,548038,236710,1076512,B,16,,,2004,4
77440,960826,59270,793084,136710,1753910,B,17,,,2004,4
13420,214315,13710,222173,27130,436488,B,18,,,2004,4
6420,124215,4620,81811,11050,206026,B,19,,,2004,4
19170,39584,16660,81470,35830,121054,B,20,,,2004,4
1590,34251,1390,38220,2980,72472,B,21,,,2004,4
48160,361566,35820,250260,83980,611826,B,22,,,2004,4
167700,549707,150650,551234,318350,1100940,B,23,,,2004,4
1143560,48498071,950210,45055516,2093770,93553587,B,24,,,2004,4
378750,674622,353430,736260,732180,1410882,C,25,,,2004,4
508390,1673967,464420,1685605,972810,3359572,C,26,,,2004,4
427820,237911,378020,236676,805840,474587,C,27,,,2004,4
79960,269123,64340,229871,144300,498994,C,28,,,2004,4
158600,120419,142270,107615,300870,228034,C,29,,,2004,4
57400,61996,39670,47185,97080,109181,C,30,,,2004,4
58330,227452,60380,234742,118710,462193,C,31,,,2004,4
3280,36045,2790,31428,6070,67474,C,32,,,2004,4
56320,140269,47580,119784,103900,260052,C,33,,,2004,4
911370,3442294,790270,3429649,1701640,6871943,C,34,,,2004,4
190,308,1940,1289,2130,1597,C,35,,,2004,4
1143000,45057625,950010,41627355,2093010,86684980,C,36,,,2004,4
3040,31360,3140,48430,6180,79790,C,37,,,2004,4
28990,70051,28000,101588,56990,171639,C,38,,,2004,4
70270,448326,53350,329752,123620,778079,C,39,,,2004,4
99560,555263,82230,479867,181800,1035130,C,40,,,2004,4
1141250,44505075,949180,41149244,2090430,85654319,C,41,,,2004,4
1143140,9151049,949880,7607010,2093020,16758059,D,42,,,2004,4
149510,302454,110180,142394,259680,444847,D,43,,,2004,4
162490,891838,135650,742886,298140,1634724,D,44,,,2004,4
930500,1576573,789380,1373856,1719880,2950429,D,45,,,2004,4
859480,616397,738040,540857,1597520,1157255,D,46,,,2004,4
214170,212760,164210,163489,378380,376250,D,47,,,2004,4
11850,46978,9390,38811,21230,85789,D,48,,,2004,4
23050,162917,17420,128850,40470,291767,D,49,,,2004,4
124720,409289,104350,340039,229070,749328,D,50,,,2004,4
58160,35500,46620,32259,104780,67760,D,51,,,2004,4
33300,111280,23540,79217,56840,190497,D,52,,,2004,4
161680,400755,111040,284264,272720,685019,D,53,,,2004,4
1143260,2226255,949900,1835342,2093160,4061597,D,54,,,2004,4
433430,375872,379340,365369,812770,741241,D,55,,,2004,4
250,892,440,3692,690,4583,E,56,,,2004,4
427700,101427,375000,100178,802710,201605,E,57,,,2004,4
1143310,2327682,949920,1935520,2093230,4263202,E,58,,,2004,4
1131540,5028725,943800,5071374,2075340,10100100,E,59,,,2004,4
180040,88029,159980,76021,340020,164050,F,60,,,2004,4
1130850,5019652,942920,5060111,2073760,10079763,F,61,,,2004,4
1129830,5004086,942030,5043351,2071870,10047438,F,62,,,2004,4
846940,1872243,712390,1812390,1559330,3684634,F,63,,,2004,4
1133640,6976926,945130,6935948,2078760,13912874,F,64,,,2004,4
1435640,0,1031560,0,707170,0,A,1,,,2004,5
6660,0,2430,0,1540,0,A,2,,,2004,5
1442310,0,1033990,0,708710,0,A,3,,,2004,5
1213260,60021745,901390,52956485,627710,42576769,B,4,,,2004,5
36600,687823,25530,630178,21340,638013,B,5,,,2004,5
205390,619152,153300,528762,115400,473769,B,6,,,2004,5
159690,849321,95080,507527,56990,301908,B,7,,,2004,5
232910,1627387,139530,971635,83700,575635,B,8,,,2004,5
216640,6038065,132370,4100096,77000,2455325,B,9,,,2004,5
107870,527737,57560,254120,30100,122740,B,10,,,2004,5
292330,1178168,237250,1139721,181520,964662,B,11,,,2004,5
502680,1129963,374020,850082,275860,723635,B,12,,,2004,5
100990,1153062,62070,854250,37180,596305,B,13,,,2004,5
105240,198789,81300,184486,56150,150044,B,14,,,2004,5
163300,553114,132960,532316,102860,466085,B,15,,,2004,5
165750,828152,114360,624779,76130,477434,B,16,,,2004,5
90970,1391656,63450,1012186,44530,774459,B,17,,,2004,5
21850,439992,19480,478623,17280,547125,B,18,,,2004,5
8590,225270,6620,196515,5060,181090,B,19,,,2004,5
23620,111564,17710,74660,12420,57959,B,20,,,2004,5
2150,55476,1090,35137,820,33749,B,21,,,2004,5
49820,353511,26860,203965,17050,116576,B,22,,,2004,5
234960,891197,182850,775391,134370,630664,B,23,,,2004,5
1442310,78884470,1033990,66911213,708710,52865331,B,24,,,2004,5
595320,1524106,479390,1526685,339510,1337268,C,25,,,2004,5
752160,3213737,597050,2980864,436250,2524411,C,26,,,2004,5
631030,462003,497260,412584,345740,308969,C,27,,,2004,5
88970,315316,58740,229338,33730,131793,C,28,,,2004,5
241040,214604,199330,209428,153110,180956,C,29,,,2004,5
55550,74398,35810,51002,25980,38152,C,30,,,2004,5
106600,438742,75960,359486,58980,302185,C,31,,,2004,5
4190,57574,2860,45885,1360,24221,C,32,,,2004,5
75100,283549,54070,252749,40090,289267,C,33,,,2004,5
1249590,6584079,934440,6068229,655500,5137137,C,34,,,2004,5
45490,34789,111040,86599,72310,124707,C,35,,,2004,5
1441740,72324459,1033640,60794882,708540,47688821,C,36,,,2004,5
5210,96611,4000,85267,3810,80699,C,37,,,2004,5
46580,126030,38520,99239,30170,89561,C,38,,,2004,5
84750,504815,55570,310578,40530,235653,C,39,,,2004,5
132080,730783,95800,495384,72110,407297,C,40,,,2004,5
1441110,71596625,1033430,60301968,708310,47282730,C,41,,,2004,5
1441860,11547113,1033610,8276751,708440,5673384,D,42,,,2004,5
105690,64205,7400,7538,1740,3137,D,43,,,2004,5
210750,1165338,162920,907013,113920,639119,D,44,,,2004,5
1219700,2157558,905880,1616011,633530,1137663,D,45,,,2004,5
1140430,849027,842540,632639,586660,443592,D,46,,,2004,5
236430,235468,145460,144738,85800,85185,D,47,,,2004,5
11610,46190,10090,40915,6320,25400,D,48,,,2004,5
23870,175579,14780,113575,11990,91827,D,49,,,2004,5
165920,557428,135780,477851,102250,382888,D,50,,,2004,5
62520,41984,37540,25724,18760,12737,D,51,,,2004,5
35340,106459,24600,78854,14470,47548,D,52,,,2004,5
144760,403370,88400,250401,49470,183954,D,53,,,2004,5
1441900,2775212,1033700,2010978,708500,1395859,D,54,,,2004,5
631200,610220,514020,545246,388590,450721,D,55,,,2004,5
590,6805,1050,7625,420,3387,E,56,,,2004,5
625570,167253,511050,150494,386030,124019,E,57,,,2004,5
1441900,2942465,1033720,2161472,708500,1519877,E,58,,,2004,5
1435000,9644556,1031210,8787466,706870,7297181,E,59,,,2004,5
268760,156918,219840,151823,169540,128518,F,60,,,2004,5
1433780,9618299,1029980,8757550,705570,7265786,F,61,,,2004,5
1432710,9589950,1029350,8732094,705240,7248386,F,62,,,2004,5
1109610,3532869,810780,3242574,582570,2829083,F,63,,,2004,5
1435640,13279431,1031560,12142341,707170,10263286,F,64,,,2004,5
426600,0,276940,0,3877910,0,A,1,,,2004,6
770,0,330,0,11730,0,A,2,,,2004,6
427380,0,277270,0,3889650,0,A,3,,,2004,6
376650,28672859,243030,20277998,3362040,204505857,B,4,,,2004,6
15040,501902,12390,499094,110900,2957011,B,5,,,2004,6
76980,351320,53310,283969,604380,2256971,B,6,,,2004,6
32400,171333,20500,108269,364650,1938359,B,7,,,2004,6
47690,327663,30400,207109,534220,3709429,B,8,,,2004,6
45170,1524340,30020,1025864,501190,15143691,B,9,,,2004,6
15980,60075,7740,30654,219240,995325,B,10,,,2004,6
125440,789652,92070,663764,928610,4735968,B,11,,,2004,6
175350,496060,121760,410369,1449670,3610109,B,12,,,2004,6
21120,405951,13180,294582,234540,3304149,B,13,,,2004,6
